projects,tasks,columns,rows,samples,p50_ms,p95_ms,max_ms
1,50,80,24,60,5.604,6.833,7.021
1,50,120,36,60,7.193,8.125,8.786
1,50,192,58,60,13.355,15.502,16.183
6,50,80,24,60,4.385,5.226,5.674
6,50,120,36,60,5.782,7.011,7.455
6,50,192,58,60,10.722,12.225,13.345
20,50,80,24,60,4.278,4.938,5.273
20,50,120,36,60,5.568,6.495,6.682
20,50,192,58,60,10.746,12.834,13.460
